,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-86-080
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Changes in the quality and microstructure of frozen rockfish
3,Author:,"Reid, D. S."
4,,"Doong, N. F."
5,,"Snider, M."
6,,"Foin, A."
7,Publication Year :,1986
8,Source Citation:,"""Seafood Quality Determination,"" Proceedings of an International Symposium, D.E. Kramer and J. Liston (eds.), pp. 1-15, Anchorage, Alaska, November 10-14, 1986."
9,Publication Type:,reprints (not peer-reviewed)
10,Project #:,R/F-110
11,Abstract:,The quality of fish maintained in frozen storage deteriorates at a steady rate. This loss in quality is a significant factor in the utilization of fish. Changes are known to occur during freezing in the chemical/bioche​mical composition of the fish; these are species dependent. Changes also take place in the structure of the tissue; these may be freezing rate dependent. Further changes then occur in tissue structure during frozen storage. In this study special microscopic procedures are employed to follow and describe the structural changes that take place in frozen stored fish.
