,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-95-031
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Bragg scattering of water waves by Green-Naghdi theory
3,Author:,"Webster, William C."
4,,"Wehausen, John V."
5,Publication Year :,1995
6,Source Citation:,"""Journal of Applied Mathematics and Physics,"" 46S (Special Issue):S566-​S583, 1995."
7,# Pages / Video Length:,18
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/OE-26
10,Abstract:,"It has been known for more than ten years that the phenomenon known as Bragg scattering in solid-state physics has an analog in the propagation of water waves over a ripple bottom. Earlier treatments of the underlying theory start with the assumption of irrotational flow of an inviscid fluid and then by various schemes approximate the boundary conditions. This paper approaches the problem differently, exploiting the fluid-sheet theory (GN theory) of A. E. Green and P. M. Naghdi (1986). The GN Level II theory used in this paper yields satisfactory predictions for shallow-water waves with steepness almost up to breaking. As a consequence, the GN equations seem particularly appropriate for examining the effect of these ratios on Bragg scattering. In addition, by taking small values of these ratios, the GN theory yields results compatible with those obtained by perturbation methods."
