,MetadataField,Metadata
0,NSGL Document #:,CUIMR-N-91-008
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Sea Grant in Brief (February, May, and September 1991)"
3,Author:,"Amidei, Rosemary"
4,Publication Year :,1991
5,Publisher:,University of California Sea Grant
6,# Pages / Video Length:,3
7,Publication Type:,periodicals
8,Notes:,Published irregularly
9,Abstract:,"A one pager newsletter report describing Sea Grant projects, reports and publications, recent news, issues, funding, legislation, workshops and other happenings going on in the California Sea Grant Program."
