,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-95-042
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"A sesterterpene from the palauan sponge ""Igernella"" sp"
3,Author:,"Liu, Guanmei"
4,,"Pika, Jana"
5,,"Faulkner, D. John"
6,Publication Year :,1995
7,Source Citation:,"""Natural Product Letters,"" 7:297-301, 1995."
8,# Pages / Video Length:,5
9,Publication Type:,reprints (peer-reviewed)
10,Project #:,R/MP-60
11,Abstract:,"Extracts of the Palauan sponge ""Igernella"" sp. yielded the new sesterterpene igernellin together with halisulfate 3, which had previously been reported from an halichondriid sponge."
