,MetadataField,Metadata
0,NSGL Document #:,LSU-R-95-021
1,Sea Grant Program/Affiliate:,Louisiana Sea Grant
2,Title:,Role of in-situ nitrification in design of recirculating systems
3,Author:,"Mia, Riazul I."
4,,"Drennan, Douglas G. II"
5,,"Malone, Ronald F."
6,Publication Year :,1995
7,Source Citation:,"""Aquaculture '95,"" a joint meeting of the American Fisheries Society Fish Culture Section, the World Aquaculture Society, and the National Shellfisheries Association, pg. 102, San Diego, California, February 1-4, 1995."
8,# Pages / Video Length:,1
9,Publication Type:,reprints (not peer-reviewed)
