,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-88-033
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"An in-vitro analysis of egg mortality in ""Cancer anthonyi"": the role of symbionts and temperature"
3,Author:,"Shields, Jeffrey D."
4,,"Kuris, Armand M."
5,Publication Year :,1988
6,Source Citation:,"""Biological Bulletin,"" 174:267-275, June 1988."
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/F-75
9,Abstract:,"A multifactorial experimental design was used to determine the relative contributions in-vitro of each of three common symbionts (""Carcinonemert​es epialti, Lagenidium callinectes"", and ""Leucothrix"" sp.) to the egg mortality of the crab, ""Cancer anthonyi"" (""C. anthonyi"" was used as it is abundant in California and breeds year-round). The susceptibility of eggs in different developmental stages was also examined. In addition, the effect of temperature on egg mortality and development, and on symbiont behavior, was investigated."
