,MetadataField,Metadata
0,NSGL Document #:,CUIMR-T-86-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Molt increments, annual molting probabilities, fecundity and survival rates of adult female Dungeness crabs in northern California"
3,Author:,"Hankin, David"
4,,"Diamond, Nancy"
5,,"Mohr, Michael"
6,,"Ianelli, James"
7,Publication Year :,1986
8,# Pages / Video Length:,18
9,Publication Type:,technical reports/surveys​/patents
10,Project #:,R/F-72
11,Abstract:,"From the results of a 3-yr study of the vital demographic statistics of adult female Dungeness crabs in northern California, a remarkable picture of their life history is painted. In particular, strong size-dependence of molt increments, molting probabilities, fecundity and survival rates was found; such dependence was often unexpected. Among females exceeding 155 mm carapace width, fecundities were often low, annual molting probabilities were effectively zero, and annual survival rates were about 10%; these figures were far less than those for smaller younger adult female crabs. Based on these findings, and other bits of evidence, an argument for senescence among adult female Dungeness crabs is presented."
