,MetadataField,Metadata
0,NSGL Document #:,CUIMR-W-99-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Taxonomy of economic seaweeds with reference to some Pacific species: Volume VIII
3,Editor :,"Abbott, Isabella A."
4,,"McDermid, Karla"
5,Publication Year :,2002
6,Source Citation:,"Results of an international workshop, Nha Trang, Vietnam, April 1999."
7,# Pages / Video Length:,332
8,Publication Type:,conference/work​shop proceedings
9,Program Report #:,T-048
10,Project #:,A/P-1
11,URL:,http://nsgl.gso​.uri.edu/cuimr/​cuimrw99001/cui​mrw99001index.h​tml
12,Abstract:,"An international group of taxonomists representing the United States, Japan, China, Thailand, Chile, and Vietnam report the results of a 1999 workshop on the taxonomy of the groups ""Sargassum, Gelidium, Gracilariales, Kappaphycus/Euc​heuma,"" and ""Halymenia."" This book, the eighth in a series, contains a special section on the marine algae of Vietnam. The rationale behind the first workshop in 1984 was that progress in seaweed aquaculture and marine natural products chemistry would require a better understanding of commercially interesting species. In these times of accelerated loss of habitat and biodiversity, the series of workshops have had the added benefit of providing lasting records of many species, including drawings and photos."
13,,"The following papers are included in this proceedings: 1. Section I. ""Sargassum"" species: introduction. Isabella A. Abbott pp. 1-2. 2. Studies on the biserrulic ""Sargassum"" of China: III. On ""Sargassum parvifolium"" (Turner) C. Agardh, with a note on the classification of the ""Biserrulae"". C K. Tseng and Lu Baoren pp. 3-9. 3. Studies on the biserrulic ""Sargassum"" of China: IV. The series ""Plagiophyllae"" Tseng et lu. C. K. Tseng and Lu Baoren pp. 11-33. 4. Studies on the biserrulic ""Sargassum"" of China: V. The series ""Ilicifoliae"" (J. Agardh) Tsent et lu. C. K. Tseng and Lu Baoren pp. 35-76. 5. ""Sargassum"" specimens from Singapore and Malaysia in the herbarium of the Bishop Museum. Tetsuro Ajisaka pp. 77-88. 6. A molecular study of section-level classification of ""Sargassum"" subgenus ""Bactrophycus (Sargassaceae, Phaeophyta). Tadao Yoshid, et al. 89-94. 7. Verification of ""Sargassum"" species identified with subgenera ""Bactrophycus"", ""Phyllotrichia""​, and ""Schizophycus"" in Vietnam. Tadao Yoshida, et al. pp. 95- 102. 8. Three new species of ""Sargassum"" (Sargassaceae, Fucales) from Vietnam. Nguyen Huu Dai pp. 103-112. 9. ""Sargassum"" specimens with bulbous structures from China, Vietnam, and Bahrain. Tetsuro Ajisaka, et al. pp. 113-134. 10. Some new species and records of ""Sargassum"" (Sargassaceae, Phaeophyta) from the China Sea. C. K. Tseng and Lu Baoren pp. 135-148. 11. Section II. Gelidiales: introduction. Isabella A. Abbott pp. 149-150. 12. The taxonomic status of ""Gelidiella adnata"" (Gelidiales, Rhodophyta). Bernabe Santelices pp. 151-166. 13. Japanese species of ""Pterocladiella​"" santelices et hommersand (Rhodophyta, Gelidiales). Satoshi Shimada and Michio Masuda pp. 167-181. 14. Synopsis of the Chinese species of ""Gelidium"" (Gelidiales, Rhodophyta). Xia Bangmei, et al. pp. 183-205. 15. Section III. Gracilariales: introduction. Isabella A. Abbott pp. 207. 16. The taxonomy of parasitic genera growing on ""Gracilaria"" (Rhodophyta), Gracilariaceae)​. Grevo S. Gerung and Hirotoshi Yamamoto pp. 209-213. 17. Review of ""Gracilaria vermiculophylla​"" and other species in Japan and Asia. Ryuta Terada and Hirotoshi Yamamoto pp. 215-224. 18. Additional notes on ""Gracilaria eucheumatoides"" Harvey from Vietnam. Ryuta Terada and Hirotoshi Yamamoto pp. 225- 230. 19. A new species of ""Gracilaria"" from China. Xia Bangmei and Wang Yongqiang pp. 231-235. 20. A different flattened species of ""Gracilaria"" from Thailand. Anong Chirapart and Khanjanapaj Lewmanomont pp. 237-243. 21. Section IV. ""Kappaphycus/Eu​cheuma"": introduction. Isabella A. Abbott pp. 245-246. 22. Morphological variability of ""Kappaphycus cottonii"" in Vietnam. Pham Huu Tri pp. 247-255. 23. Section V. ""Halymenia"" species: introduction. Isabella A. Abbott pp. 257-258. 24. Morphology of ""Halymenia maculata"" J. Agardh from Vietnam. Shigeo Kawaguchi, et al. pp. 259-266. 25. Foliose ""Halymenia"" (Halymeniaceae, Cryptonemiales, Rhodophyta) from Thailand. Khanjanapaj Lewmanomont and Shigeo Kawaguchi pp. 267-277. 26. Phenology and spore germination in a ""Halymenia"" population at Mahaiula Bay, Hawaii. Karla J. McDermid pp. 279-288. 27. Section VI. The marine algae of Vietnam: introduction. Isabella A. Abbott pp. 289-290. 28. Newly reported and revised marine algae from the vicinity of Nha Trang, Vietnam. Isabella A. Abbott, et al. pp. 291-321."
