,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-00-008
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Chloroplast fatty acid composition in Mediterranean populations of the marine chlorophyte, ""Anadyomene stellata."""
3,Author:,"Bemis, Debra L."
4,,"Roussis, Vassilios"
5,,"Vagias, Constantinios"
6,,"Jacobs, Robert S."
7,Publication Year :,2000
8,Source Citation:,"""Verlag Zeitschrift fur Naturforschung,​"" 55:569-575, 2000."
9,# Pages / Video Length:,7
10,Publication Type:,reprints (peer-reviewed)
11,Project #:,R/MP-71
12,Abstract:,"Researchers collected samples of ""Anadyomene stellata"" from three geographically distinct populations off the coast of Greece and analyzed their chloroplast fatty acid compositions. Their objectives were to determine the natural substrates present for the fatty acid oxidative enzyme system present and to compare chloroplast fatty acid composition from various populations of the algae during the same season. Significant differences were observed among the three populations in the percent of total fatty acids for 12 of the 19 fatty acids present. High levels of C20 PUFAs, an atypical observation in Chlorophytes, were observed in all three populations and a 14:2 PUFA, apparently rare in marine macrophytic Chlorophytes, was identified in significant quantities. None of the conjugated tetraene containing fatty acids previously identified in other ""A. stellata"" populations were found."
