,MetadataField,Metadata
0,NSGL Document #:,CUIMR-W-83-004
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Applications of remote sensing to fisheries and coastal resources
3,Editor :,"Amidei, Rosemary"
4,Publication Year :,1985
5,Source Citation:,"""Report of a workshop,"" San Diego, California, November 30, 1983."
6,# Pages / Video Length:,64
7,Publication Type:,conference/work​shop proceedings
8,Program Report #:,T-CSGCP-012
9,Project #:,A/P-1
10,Abstract:,"Potential applications of satellite data (specifically those derived from the Coastal Zone Color Scanner) to fishing and other coastal activities were considered at a national workshop sponsored by the California Sea Grant College Program in November 1983. Those in attendance represented NASA and NOAA as well as the fishing, resource management, and scientific communities. The eleven reports here discuss the status of various Sea Grant-funded research projects on applications of remote sensing and the problems of distributing data to potential users. Hardware development is also considered as is the need for an operational ocean color instrument to succeed the Coastal Zone Color Scanner."
