,MetadataField,Metadata
0,NSGL Document #:,CASG-R-09-039
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Scales of variability in larval settlement within the Channel Islands National Marine Sanctuary and along the mainland coast
3,Author:,"Schroeter, Stephen C."
4,,"Page, Henry M."
5,,"Dugan, Jenifer E."
6,,"Culver, Carolynn S."
7,,"Steele, Bruce"
8,,"Guiterrez, Rick"
9,,"Richards, John B."
10,,"Kushner, David"
11,Publication Year :,2009
12,Source Citation:,"""7th California Islands Symposium,"" pp. 151-160, Oxnard, California, February 5-7, 2009."
13,# Pages / Video Length:,10
14,Publication Type:,reprints (not peer-reviewed)
15,Project #:,A/AE-1
