,MetadataField,Metadata
0,NSGL Document #:,SCU-R-98-003
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,"The ""Vibrio fischeri""-​""Euprymna scolopes"" light organ association: current ecological paradigms"
3,Author:,"Ruby, Edward G."
4,,"Lee, Kyu-Ho"
5,Publication Year :,1998
6,Source Citation:,"""Applied and Environmental Microbiology,"" 64(3):805- 812, March 1998."
7,# Pages / Video Length:,8
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,USCSG-R-05-98
10,Abstract:,"Although many studies have reported specific niches and predictable patterns in geographical distribution for luminous bacterial species, the factors underlying their ecological dynamics (e.g., their movement between niches and their formation of stable subspecies or biovars) have, until recently, been poorly understood. In this review, the authors discuss what is currently known about the extent to which the population of planktonic ""V. fischeri"" can influence, or be influenced by, its existence in symbiotic niches."
