,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-01-010
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Ocean governance and the marine fisheries crisis: two decades of innovation--and frustration
3,Author:,"Scheiber, Harry N."
4,Publication Year :,2001
5,Source Citation:,"""Virginia Environmental Law Journal,"" 20(1):119-137, 2001."
6,# Pages / Video Length:,19
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/MA-40
9,Abstract:,"This article reviews the past twenty years of understanding and responding to the fisheries crisis. The author focuses on the policies of the U.N. and the U.S., and describes four basic approaches to fisheries management: the precautionary principle, the preservationist approach, protection of biodiversity and ecosystem integrity, and privatization of property rights."
