,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-83-073
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Purified proteins in artificial diets for juvenile lobsters
3,Author:,"Norman-​Bordreau, K."
4,,"Conklin, D. E."
5,Publication Year :,1985
6,Source Citation:,"""Proceedings of the 1st International Conference on Warm Water Aquaculture Crustacea,"" pp. 343-351, February 9, 10 & 11, 1983."
7,Publication Type:,reprints (not peer-reviewed)
8,Project #:,R/A-45
9,Abstract:,"From the data presented in this article the following conclusions have been made: (1) the quality of the purified proteins used for this study could not be solely attributed to their amino acid composition; (2) wet weight was a poor predictor of growth, especially for short-term studies; (3) shrimp protein has been shown to be an excellent protein source and resulted in both acceptable growth and survival when compared to a diet that uses live ""Artemia""; (4) lobsters may be able to utilize diets with protein levels below 20% if they are provided with a protein that has good digestibility and good quality as defined by lobster growth studies."
