,MetadataField,Metadata
0,NSGL Document #:,WISCU-R-92-009
1,Sea Grant Program/Affiliate:,Wisconsin Sea Grant
2,Title:,Construction on Wisconsin's Lake Michigan coast
3,Author:,"Keillor, J. Philip"
4,Publication Year :,1992
5,Source Citation:,"""Coastal Engineering Practice '92 Proceedings,"" pp. 762-778, Long Beach, California, March 9-11, 1992."
6,# Pages / Video Length:,17
7,Publication Type:,reprints (not peer-reviewed)
8,Project #:,A/AS-24
9,Abstract:,"This paper provides a preliminary evaluation of a set of 100 residential properties along Wisconsin's Lake Michigan coast; an examination of the vulnerability of coastal homes and adequacy of shore protection in terms of the risks of flooding, erosion and storm wave damage; and some examples of properties that have withstood high water and storm waves for many years."
