,MetadataField,Metadata
0,NSGL Document #:,CUIMR-F-94-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Seafood training videos
3,Author:,California Sea Grant Program
4,Publication Year :,1994
5,# Pages / Video Length:,3
6,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
7,Program Report #:,UCSGEP 94-6
8,Project #:,A/EA-1
9,Notes:,"& Tech, UC Davis, Davis, CA 95616-8598."
10,Abstract:,"This listing briefly describes seafood training videos available for borrowing from U.C. Davis. Two are on the subject of commercial fishing, seven on food service, one on domoic acid, one on sport fishing, seven on seafood processing, and 27 on seafood retailing."
