,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-86-016
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Effects of sinus gland extracts on larval molting and ecdysteroid titers of the American lobster, ""Homarus americanus"""
3,Author:,"Snyder, Mark J."
4,,"Chang, Ernest S."
5,Publication Year :,1986
6,Source Citation:,"""Biological Bulletin,"" 170:244-254, April 1986."
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/A-61
9,Abstract:,"We report the results of experiments designed to investigate the presence of MIH-like (molt-​inhibiting hormone) activity in larvae of ""Homarus americanus"". Previously, it was determined that eyestalk ablation of these larvae abbreviates subsequent molt intervals. In the present study, ablated larvae were injected with sinus gland extracts possessing known MIH activity as assayed in juvenile lobsters; subsequent effects of these injections on molt intervals and whole larval ecdysteroid titers indicate that MIH may act to inhibit ecdysteroid production by the larval molting gland."
