,MetadataField,Metadata
0,NSGL Document #:,CASG-R-04-028
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Fatal attraction: synthetic musk fragrances compromise multixenobiotic defense systems in mussels
3,Author:,"Luckenbach, Till"
4,,"Corsi, Ilaria"
5,,"Epel, David"
6,Publication Year :,2004
7,Source Citation:,"""Marine Environmental Research,"" 58:215-219, 2004."
8,# Pages / Video Length:,5
9,Publication Type:,reprints (peer-reviewed)
10,Project #:,R/CZ-182
11,Abstract:,"The authors studied interactions of nitromusk compounds musk ketone and musk xylene and polycyclic musks Galaxolide (HHCB), Celestolide (ADBI), Tetralide (AHTN), and Traseolide (AITI) with multixenobiotic resistance (mxr) transporters in gill tissue of the marine mussel ""Mytilus californianus"" (Conrad, 1837). A competitive substrate transport test with rhodamine B was used to assay modulation of transport activity by musks. All tested musks inhibited the transport activity in the low um range as indicated by increased accumulation of rhodamine B in the tissue. Compared to known subsrates of mxr transporters, the effective concentration range was similar to quinidine and about 100 times higher than verapamil. Musk ketone and musk xylene also inhibited efflux of rhodamine B from gill tissue which was loaded with the dye and subsequently incubated with these compounds. Synthetic musk compounds are persistent environmental pollutants in aquatic environments with a high potential to bioaccumulate. As potent inhibitors of mxr transporters they may also play a role as chemosensitizer​s that enable toxic mxr substrates to accumulate in cells of aquatic organisms."
