,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-85-075
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"A non-peroxide norsesterterpen​e from a marine sponge ""Hyrtios erecta"""
3,Author:,"Crews, P."
4,,"Bescansa, P."
5,,"Bakus, G. J."
6,Publication Year :,1985
7,Source Citation:,"""Experientia,"" 41:690-691, 1985."
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-33
10,Abstract:,"A new norsesterterpen​e, hyrtial 4, and known sesterterpenes, 1-3, have been isolated from an anti-​inflammatory active crude extract of the Tongan black sponge ""Hyrtios erecta"". This is the first such compound to be reported from the subclass Dictyoceratida."
