,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-93-045
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"A marine natural product, patellamide D, reverses multidrug resistance in a human leukemic cell line"
3,Author:,"Williams, Allen B."
4,,"Jacobs, Robert S."
5,Publication Year :,1993
6,Source Citation:,"""Cancer Letters,"" 71:97-102, 1993."
7,# Pages / Video Length:,6
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-47
10,Abstract:,"The development of multidrug resistance during chemotherapy presents a formidable challenge to successful clinical management of some tumors. A cyclic octapeptide (patellamide D) isolated from the marine tunicate, ""Lissaclinum patella"", acts as a resistance-​modifying agent in the multidrug resistance CEM/VLB100 human leukemic cell line. Patellamide D at 3.3 micrometer was compared with 5.1 micrometer verapamil in modulating drug resistance in vitro. Results indicate that patellamide D acts as a selective antagonist in multidrug resistance and stresses the importance of investigating marine-derived compounds as a potential new source for modulators of the drug-resistance phenotype."
