,MetadataField,Metadata
0,NSGL Document #:,SCU-T-74-008
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,"MARINE STUDIES OF SAN PEDRO BAY, CALIFORNIA PART 7. SEDIMENT INVESTIGATIONS /2ND TITLE/ SEDIMENT COMPOSITIONS IN LOS ANGELES - LONG BEACH HARBORS A ND SAN PEDRO BASIN"
3,Author:,"CHEN, KENNETH Y"
4,,"LU, JAMES C S"
5,Editor :,"SOULE, DOROTHY F"
6,,"OGURI, MIKIHIKO"
7,Publication Year :,1974
8,# Pages / Video Length:,177
9,Publication Type:,technical reports/surveys​/patents
10,Program Report #:,USC-SG- 8-74 NOAA-74102209
