,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-01-024
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"""Vibrio cholerae"" in recreational beach waters and tributaries of southern California"
3,Author:,"Jiang, Sunny C."
4,Publication Year :,2001
5,Source Citation:,"""Hydrobiologia,​"" Volume 460: The Ecology and Etiology of Newly Emerging Marine Diseases, J. W. Porter, ed., pp. 157-164, 2001."
6,# Pages / Video Length:,18
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/C-46PD
9,Abstract:,"""Vibrio cholerae"" is the causative agent of the severe dehydrating diarrheal disease cholera. This study examines the abundance and distribution of ""V. cholerae"" in recreational beach waters and tributaries of southern California. Water samples were taken form 11 beach locations adjacent to freshwater runoff sources, and also from rivers, creeks and coastal wetlands. Environmental parameters including temperature, salinity, coliphage counts, viable heterotrophic plate counts and total bacterial direct counts were also determined to understand the relationships between the presence of ""V. cholerae"" and environmental conditions."
