,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-83-045
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"EFFECT OF STYPOLDIONE ON CELL CYCLE PROGRESSION, DNA AND PROTEIN SYNTHESIS, AND CELL DIVISION IN CULTURED SEA URCHIN EMBRYOS"
3,Author:,"WHITE, STEVEN J"
4,,"JACOBS, ROBERT S"
5,Publication Year :,1983
6,Source Citation:,"MOLECULAR PHARMACOLOGY, 24( ):0500-0508, 1983"
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/MP-21
9,Abstract:,DNA;PROTEN;SEA URCHIN;EMBRYO;C​YTOLOGY
