,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-94-061
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Unstable enol sulfates from a two-sponge association
3,Author:,"Cerda-​Garcia-​Rojas, Carlos M."
4,,"Harper, Mary Kay"
5,,"Faulkner, D. John"
6,Publication Year :,1994
7,Source Citation:,"""Journal of Natural Products,"" 57(12):1758-​1761, December 1994."
8,# Pages / Video Length:,4
9,Publication Type:,reprints (peer-reviewed)
10,Project #:,R/MP-55
11,Abstract:,"An inseparable two-sponge association, consisting of a ""Haliclona"" sp. and a choristid sponge, yielded two unstable enol sulfates. Methanolysis converted the enol sulfates into a trimethyloxy derivative by an oxidative mechanism."
