,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-87-044
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Effect of Pseudopterosin A on cell division, cell cycle progression, DNA, and protein synthesis in cultured sea urchin embryos"
3,Author:,"Ettouati, Williams S."
4,,"Jacobs, Robert S."
5,Publication Year :,1987
6,Source Citation:,"""Molecular Pharmacology,"" 31:500-505, 1987."
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/MP-21
9,Abstract:,"Pseudopterosin A is a diterpene riboside isolated from ""Pseudopterogor​gia bipinata"", a soft coral of the order Gorgonacea. Pseudopterosin A inhibits the first cleavage in fertilized sea urchin eggs. Cytological examination revealed that sea urchin embryos did not progress beyond early prophase. Notably, the nuclear envelope remained intact and chromatin was condensed into chromosomes in the arrested embryos. These synchronously dividing embryos did not show any abnormalities such as lysis, swelling, or morphological changes different from control embryos."
