,MetadataField,Metadata
0,NSGL Document #:,SCU-T-79-001
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,"ECOLOGICAL CHANGES IN OUTER LOS ANGELES-LONG BEACH HARBORS FOLLOWING INITIATION OF SECONDARY WASTE TREATMENT AND CESSATION OF FISH CANNERY WASTE EFFLUENT MARINE STUDIES OF SAN PEDRO BAY, CALIFORNIA PART 16"
3,Author:,"SOULE, DOROTHY FISHER"
4,,"OGURI, MIKIHIKO"
5,Publication Year :,1979
6,# Pages / Video Length:,597
7,Publication Type:,technical reports/surveys​/patents
