,MetadataField,Metadata
0,NSGL Document #:,CUIMR-G-91-004
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Bacteria causing foodborne illness
3,Author:,"Price, Robert J."
4,,"Tom, Pamela D."
5,Publication Year :,1991
6,# Pages / Video Length:,6
7,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
8,Program Report #:,UCSGEP 91-6
9,Project #:,A/EA-1
10,Abstract:,"Bacteria-caused food toxicities and illnesses are described in this publication. The source bacteria, foods involved, infective dose, incubation period, symptoms, duration, growth, rate of incidences, and causes of the food contamination are detailed for 13 common bacteria which infect food."
