,MetadataField,Metadata
0,NSGL Document #:,CASG-WR-10-002
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Regulation and heterologous expression of bioactive natural products from the marine Cyanobacterium lyngbya majuscula
3,Author:,"Jones, Adam C."
4,Publication Year :,2010
5,Source Citation:,"""California and the World Ocean 2010: Book of Abstracts,"" pp. 5, San Francisco, California, September 7-10, 2010."
6,# Pages / Video Length:,3
7,Publication Type:,reprints (not peer-reviewed)
8,Project #:,NA08OAR4170669
9,Abstract:,"The marine cyanobacterium Lyngbya majuscula is well established as a prolific source of bioactive natural products that are valued as both drug candidates and resources in biotechnologica​l applications. Despite considerable advances over the last decade in identifying how these compounds are biosynthesized, the full potential of many Lyngbya metabolites has not been harnessed due to low amounts isolated from field collections and slow growth in laboratory cultures. To improve Lyngbya natural product yields, we are monitoring possible ways to increase production levels using novel mass spectrometry approaches, and are working towards the development of a reliable heterologous expression platform for Lyngbya biosynthetic pathways. Success in either endeavor will reduce the need for organic synthesis and repeated environmental sampling, and should significantly improve the utility of these organisms in drug discovery efforts."
