,MetadataField,Metadata
0,NSGL Document #:,ORESU-G-03-013
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Sea lions and seals in Oregon
3,Editor :,"Cooper, Rick"
4,Publication Year :,2003
5,# Pages / Video Length:,2
6,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
7,Project #:,A/ESG-05
8,URL:,http://seagrant​.oregonstate.ed​u/sgpubs/online​pubs/g03013.htm​l
9,Abstract:,"California sea lions, Steller sea lions, and harbor seals are all found, at times, along the Oregon coast. This fact sheet tells readers how to distinguish the different animals and how to help ensure their well-being."
