,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-01-015
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Assessing invader roles within changing ecosystems: historical and experimental perspectives on an exotic mussel in an urbanized lagoon
3,Author:,"Crooks, Jeffrey A."
4,Publication Year :,2001
5,Source Citation:,"""Biological Invasions,"" 3:23-36, 2001."
6,# Pages / Video Length:,14
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/CZ-150
9,Abstract:,"This paper examines changes in the bivalve community of Mission Bay, San Diego, California. Two quantitative historical datasets on bivalves in the bay are used along with additional sampling and experimentation​, to: (1) assess temporal trends in the subtidal bivalve community, (2) compare the bivalve community of the salt marsh tidal creek in the mid-1960s and mid-1990s, (3) test experimentally the hypothesis that the effects of ""Musculista"" on some dominant bivalves are consistent with observed long-term population trends of these species, and (4) examine the bivalve colonization of a newly-created tidal creek."
