,MetadataField,Metadata
0,NSGL Document #:,CUIMR-L-92-003
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Seafood training videos
3,Author:,"Price, Robert J."
4,Publication Year :,1992
5,# Pages / Video Length:,2
6,Publication Type:,directories/bib​liographies/ind​exes
7,Program Report #:,UCSGEP 92-1
8,Project #:,A/EA-1
9,Abstract:,"This leaflet lists thirty half-inch VHS training video tapes available on loan for one-week time periods. A maximum of two tapes can be borrowed at one time. Topics covered are commercial fishing (2 videos), food service (4), seafood processing (5), seafood retailing (18), and sport fishing (1--how to reduce contaminants in sport fish)."
