,MetadataField,Metadata
0,NSGL Document #:,CUIMR-T-00-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Depth and muscle temperature of Pacific bluefin tuna examined with acoustic and pop-up satellite tags
3,Author:,"Marcinek, David J."
4,,"Blackwell, Susanna B."
5,,"Dewar, Heidi"
6,,"Freund, Ellen V."
7,,"Farwell, Charles"
8,,"Dau, Daniel"
9,,"Seitz, Andrew C."
10,,"Block, Barbara A."
11,Publication Year :,2000
12,# Pages / Video Length:,52
13,Publication Type:,technical reports/surveys​/patents
14,Project #:,R/F-33PD
15,Abstract:,"In this study, ultrasonic telemetry was used to examine the movement and thermal biology of six Pacific bluefin tuna in the eastern Pacific Ocean. The results from acoustic tags are compared to similar data obtained from pop-up satellite archival tags that tracked the movements of two bluefin for longer periods of time in the same region. The authors were also able to examine the temperature of the slow-oxidative muscle of three fish with respect to their depth movements and ambient temperature."
