,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-91-056
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"New diterpenoic acid glycerides from the Antarctic nudibranch ""Austrodoris kerguelensis"""
3,Author:,"Davies-Coleman, Michael T."
4,,"Faulkner, D. John"
5,Publication Year :,1991
6,Source Citation:,"""Tetrahedron,"" 47(47):9743-​9750, 1991."
7,# Pages / Video Length:,8
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-46
10,Abstract:,"Despite their high visibility and lack of physical defenses against fish, crabs, and other predators, reports of predation on nudibranchs are virtually non-existent. Nudibranchs appear to employ secretions containing defensive chemicals to discourage predation. Although most nudibranchs obtain their defensive chemicals from sponges and other invertebrates on which they feed, a small group of nudibranchs synthesize their own. Among these are ""Archidoris montereyensis"" and ""A. odhneri"", both of which synthesize glyceryl esters of diterpene and sesquiterpene acids. This paper reports the isolation and identification of five diterpene glycerides from a specimen of ""Austrodoris kerguelensis"" collected in Antarctica."
