,MetadataField,Metadata
0,NSGL Document #:,MDU-R-07-026
1,Sea Grant Program/Affiliate:,Maryland Sea Grant
2,Title:,Cultural models and cultural consensus of Chesapeake Bay blue crab and oyster fisheries
3,Author:,"Paolisso, Michael"
4,Publication Year :,2007
5,Source Citation:,"""National Association of Practicing Anthropologists (NAPA) Bulletin,"" 28(1):123-135, September 2007."
6,Publisher:,University of California Press
7,# Pages / Video Length:,13
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,UM-​SG-​RS-​2007-​27
10,Project #:,A/EX-1FB
