,MetadataField,Metadata
0,NSGL Document #:,CASG-N-08-009
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Ballast Exchange (Volume 9, Spring/Summer 2008): Newsletter of the West Coast Ballast Outreach Project"
3,Author:,"Cassell, Jodi"
4,,"Dahlstrom, Alisha"
5,,"Pierpoint, Annie"
6,Publication Year :,2008
7,Publisher:,University of California Sea Grant Extension Program
8,# Pages / Video Length:,16
9,Publication Type:,periodicals
10,Grant/Contract #:,NA04OAR4170038
11,Project #:,A/EA-2
12,Notes:,Last issue received by the National Sea Grant Library
13,Abstract:,"Welcome to the Spring/Summer 2008 issue of Ballast Exchange, the newsletter produced by the California Sea Grant Extension Program's West Coast Ballast Outreach Project (WCBOP). This issue's articles include a wide range of topics that generally fit into three themes: outreach/educat​ion, invasive species reports and plans, and ballast water technology."
