,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-89-042
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Growth and reproductive dynamics of adult female Dungeness crabs (""Cancer magister"") in northern California"
3,Author:,"Hankin, David G."
4,,"Diamond, Nancy"
5,,"Mohr, Michael S."
6,,"Ianelli, James"
7,Publication Year :,1989
8,Source Citation:,"""J. Cons. int. Explor. Mer,"" 46:94-108, 1989."
9,Publication Type:,reprints (peer-reviewed)
10,Project #:,R/F-72
11,Abstract:,"The Dungeness crab (""Cancer magister"") supports important commercial fisheries from California to Alaska. Harvesting female crabs is prohibited in all fisheries except British Columbia; consequently, extensive research has been undertaken on the economically important male crab population, while the growth and reproductive dynamics of female crabs remain poorly described. All Dungeness crab fisheries have exhibited dramatic fluctuations in commercial landings. Previous studies found that fluctuations in landings might result from density-​dependent egg/larval survival; density dependence reflected fluctuations in estimated abundance and total egg production of the unexploited female population. With that as background, this paper presents results of research specifically designed to determine growth, fecundity, and natural mortality of the adult female Dungeness crab population in northern California."
