,MetadataField,Metadata
0,NSGL Document #:,MOSSLM-T-75-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,CALIFORNIA COOPERATIVE FISHERIES INVESTIGATIONS HYDROGRAPHIC DATA REPORT MONTEREY BAY JULY TO DECEMBER 1974
3,Author:,"BROENKOW, WILLIAM W"
4,,"LASLEY, STEPHEN R"
5,,"SCHRADER, GEORGE C"
6,Publication Year :,1975
7,# Pages / Video Length:,80
8,Publication Type:,technical reports/surveys​/patents
9,Program Report #:,NOAA-75050502 CASUC-​MLML-​TP-​75-​01 MLML CB# 45 MLML TPB# 75- 1 MLML SG PR# RF/15
