,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-94-043
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Hypophysectomy of fish
3,Author:,"Nishioka, Richard S."
4,Publication Year :,1994
5,Source Citation:,"""Biochemistry and molecular biology of fishes,"" Hochachka and Mommsen (editors), Volume 3, pp. 49-58, 1994."
6,# Pages / Video Length:,10
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/F-145
9,Abstract:,"Hypophysectomy (pituitary removal) enables the investigator of pituitary function to perform the classic endocrine experiment -- determination of whether a gland is the source of a hormone in question by removing it and giving replacement therapy. Whereas it is generally assumed that few questions about the pituitary and its important hormones remain to be answered, new hormones are still being described (e.g., somatolactin). Futhermore, the procedure remains important for verification of the sensitivity of homologous radioimmunoassa​y procedures involving pituitary hormones, in view of the need for hormone-free blood as a negative control. This paper describes the technique."
