,MetadataField,Metadata
0,NSGL Document #:,CASG-R-09-069
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Larval recruitment in a region of strong, persistent upwelling and recruitment limitation"
3,Author:,"Morgan, Steven G."
4,,"Fisher, Jennifer L."
5,,"Mace, Amber J."
6,Publication Year :,2009
7,Source Citation:,"""Marine Ecology Progress Series,"" 394:79-99, November 18, 2009."
8,DOI #:,10.3354/meps082​16
9,# Pages / Video Length:,21
10,Publication Type:,reprints (peer-reviewed)
11,Project #:,R/FISH-206
12,Abstract:,"Larvae are thought to be highly vulnerable to offshore transport of upwelling regions, limiting recruitment to infrequent wind relaxation and downwelling events. However, larvae could also be transported onshore by upwelled bottom waters, onshore wind-forcing or internal tides throughout the water column. We determined the relative importance of these hypothetical mechanisms for the timing of recruitment of 8 invertebrate taxa during the peak upwelling season in a region of strong, persistent upwelling. Recruitment was determined for 5 yr at an open embayment near the surface and bottom of the water column to examine the interaction of behavioral and physical processes regulating larval recruitment. Postlarvae consistently recruited near the surface or near the bottom depending on the species. Onshore delivery of larvae during wind relaxations and reversals did not best explain recruitment patterns in our area for most taxa. Only mussels consistently recruited more during these events, and they recruited in bottom rather than surface waters. Six crab taxa recruited primarily during upwelling. Recruitment of 7 taxa was intermittently correlated with the maximum tidal range, suggesting that internal waves also may deliver larvae onshore. Thus larvae may recruit by multiple processes in upwelling regions rather than being limited to infrequent relaxation events, leaving the mechanisms responsible for observed spatial patterns in larval recruitment and adult densities unexplained. Comprehensive studies of the behavioral and physical processes underlying larval recruitment and post-settlement mortality are needed to explain observed temporal and spatial variation in population dynamics and community structure in upwelling regions."
