,MetadataField,Metadata
0,NSGL Document #:,CUIMR-G-90-011
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Spiced and pickled seafood
3,Author:,"Price, Robert J."
4,Publication Year :,1990
5,# Pages / Video Length:,2
6,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
7,Program Report #:,UCSGEP 90-13
8,Project #:,A/EA-1
9,Abstract:,"Pickling with vinegar and spices is an ancient and easy method of preserving seafood. Commercial processors pickle only a few seafood species, but you can pickle almost any seafood at home. Store pickled seafood in the refrigerator at 32-38 deg. F; use within 4-6 weeks for best flavor. A list of ingredients and equipment needed and recipes using fish, shellfish, and shrimp are provided."
