,MetadataField,Metadata
0,NSGL Document #:,SCU-R-98-001
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,Use of SBYR Green I for rapid epiflourescence counts of marine viruses and bacteria
3,Author:,"Noble, Rachel T."
4,,"Fuhrman, Jed A."
5,Publication Year :,1998
6,Source Citation:,"""Aquatic Microbial Ecology,"" 14:113-118, February 13, 1998."
7,# Pages / Video Length:,6
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,USCSG-R-07-97
10,Abstract:,"A new nucleic acid stain, SYBR Green I, can be used for the rapid and acccurate determination of viral and bacterial abundances in diverse marine samples. The authors tested this stain with formalin-​preserved samples of coastal water and also from depth profiles (to 800 m) from sites 19 and 190 km offshore, by filtering a few ml onto 0.02 micrometer pore-size filters and staining for 15 min. Comparison of bacterial counts to those made with acridin orange and virus counts with those made by transmission electron microscopy showed very strong correlations. SYBR Green I stained samples need no desalting or heating, and counts can be easily performed at sea immediately after sampling."
