,MetadataField,Metadata
0,NSGL Document #:,MASGC-N-08-14c
1,Sea Grant Program/Affiliate:,Mississippi Alabama Sea Grant
2,Title:,"The SandBar (Volume 7:2, July 2008): Legal Reporter for the National Sea Grant College Program"
3,Editor :,"Bowling, Terra"
4,,"Roberson, Waurene"
5,Publication Year :,2008
6,Publisher:,University of Mississippi Sea Grant Law Center
7,# Pages / Video Length:,24
8,Publication Type:,periodicals
9,Program Report #:,MASGP-08-004-02
10,Grant/Contract #:,NOAA Sea Grant No. NA16RG2258
11,,NOAA Sea Grant No. NA06OAR4170078
12,Project #:,O-1
13,Notes:,Four issues published in 2008 (MASGC-​N-​08-​014)
14,Abstract:,"The SandBar is a quarterly publication reporting on legal issues affecting the U.S. oceans and coasts. Its goal is to increase awareness and understanding of coastal problems and issues. The following titles are in this newsletter: 1. Supreme Court finds New Jersey and Delaware share jurisdiction. J. Rosenblum, pp. 1-3. 2. California's emissions regulations preempted. T. Bowling, pp. 4, 18. 3. Court vacates monitoring and enforcement requirements. S. Wilkinson, pp. 5-6, 12. 4. Water wars continue in southeastern states. T. Bowling, pp. 7-8. 5. No sanctions for vessel carrying shark fins. A. Schaffner, pp. 9-10. 6. Spain precluded from bringing oil spill case in U.S. Court. S. Spigener, pp. 11-12. 7. Limited-entry statutory scheme is constitutional. T. Bowling, pp. 13-14. 8. Minnesota Court of Appeals dismisses nonprofit's suit. S. Wilkinson, pp. 15-17. 9. Department lacked authority to regulate under State's Shoreline Management Act. T. Bowling, pp. 19-20. 10. ""But I own it...I think."" The joys of copyright ownership. W. Wilkins, p. 21-22."
