,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-82-051
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"ODORS INFLUENCING FORAGING BEHAVIOR OF THE CALIFORNIA SPINY LOBSTER, ""PANULIRUS INTERRUPTUS"", AND OTHER DECAPOD CRUSTACEA"
3,Author:,"ZIMMER-FAUST, R K"
4,,"CASE, J F"
5,Publication Year :,1982
6,Source Citation:,"MARINE BEHAVIOUR AND PHYSIOLOGY, 09( ):0035-0058, 1982"
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/F-48
9,Abstract:,CALIFORNIA SPINY LOBSTER;DECAPOD​;CRUSTACEA;ODOR​S;FEEDING
