,MetadataField,Metadata
0,NSGL Document #:,CASG-N-09-01b
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,California Sea Grant News (June 2009): Coastal Science Serving California
3,Editor :,"Johnson, Christina S."
4,Publication Year :,2009
5,Publisher:,California Sea Grant College Program
6,# Pages / Video Length:,6
7,Publication Type:,periodicals
8,Grant/Contract #:,NA08OAR4170669
9,Project #:,C/P-1
10,Abstract:,"Septic tanks affecting coastal water quality, California, Surf Candy! (free-swimming fishes in the surf zone), Red algae for Super ABS (red abalone)."
