,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-86-079
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Mutual mysteries: Washington/regi​onal interactions in the implementation of fisheries management policy
3,Author:,"Cicin-Sain, Biliana"
4,,"Orbach, Michael K."
5,Publication Year :,1986
6,Source Citation:,"""Policy Studies Review,"" 6(2):348-357, November 1986."
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/MA8
9,Abstract:,"The policy implementation literature has begun to focus on the question of how the perceptions and behavior of multiple implementation actors, located in different organizations and at different levels of government, mold the process and outcome of implementation. This article is concerned with questions of how different organizational levels communicate with each other, how much they know about each other's operations, how they perceive and interpret actions emanating from the other level, and the criteria or standards used by each level in making implementation decisions. These questions are explored in the context of the implementation of the Magnuson Fishery Conservation and Management Act of 1976."
