,MetadataField,Metadata
0,NSGL Document #:,SCU-R-06-001
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,"Movement patterns of the round stingray ""Urobatis halleri"" (Cooper) near a thermal outfall"
3,Author:,"Vaudo, J. J."
4,,"Lowe, C. G."
5,Publication Year :,2006
6,Source Citation:,"""Journal of Fish Biology,"" 68(6):1756-​1766, 2006."
7,# Pages / Video Length:,11
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,USCSG-R-02-2006
10,Abstract:,"Fine scale movements and site fidelity of round stingrays Urobatis halleri at Seal Beach California, U.S.A., were examined using acoustic telemetry. Actively tracked fish generally exhibited limited nearshore movement, with greater distances traveled at night when the tide was ebbing than during the day with ebbing tides. Increases in round stingray activity were associated with increases in ambient temperature. Passively tracked fish showed seasonal patterns in their presence at Seal Beach. Males left Seal Beach during the autumn, returned the following spring, and remained in the area until the following autumn. Females spent far less time at Seal Beach, remaining in the area for a few weeks during June and July. Passively tracked round stingrays were recorded more often in the warm waters of the San Gabriel River mouth (the location of a thermal outfall from an electric generating station) than adjacent beaches, with fish often returning to Seal Beach after periods of absence. Anthropogenic effects resulting from coastal development may have created environmental conditions (i.e. warmer water and finer sediments) that influence the movements and site fidelity of round stingrays."
