,MetadataField,Metadata
0,NSGL Document #:,CUIMR-T-87-003
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Report of a Study Trip to Japan, March-April, 1987. II. Salmonid Aquaculture and Fisheries"
3,Author:,"Toole, Christopher"
4,Publication Year :,1988
5,Publisher:,University of California Sea Grant Cooperative Extension
6,# Pages / Video Length:,37
7,Publication Type:,technical reports/surveys​/patents
8,Program Report #:,Working Paper No. P-T-48
9,Grant/Contract #:,NOAA Sea Grant
10,Project #:,A/EA-1
11,Abstract:,"The author visited Japan for five weeks in March and April, 1987, under the auspices of the Scientist Exchange Program of the US-Japan Cooperative Program in Natural Resources (UJNR). The purposes of this trip were to: 1) Learn about Japanese aquaculture, with an emphasis on salmonid and cold-water molluscan species; 2) Learn about coastal fisheries, organization of fishermen's cooperatives, and methods of marketing seafood products; 3) Learn about fisheries and aquaculture extension activities; and 4) Learn about fisheries education and training programs in Japan."
