,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-94-029
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Pre-fusion events of sperm-oocyte interaction in the marine shrimp, ""Sicyonia ingentis"""
3,Author:,"Clark, Wallis H. Jr."
4,,"Griffin, Fred J."
5,,"Wikramanayake, Athula H."
6,Publication Year :,1994
7,Source Citation:,"""Developmental Biology,"" 5:225-231, 1994."
8,# Pages / Video Length:,7
9,Publication Type:,reprints (peer-reviewed)
10,Project #:,R/A-90
11,Abstract:,"The vast majority of sperm-egg interaction studies have been conducted using a limited number of species which possess gametes typified as representing the norm. The immediate image one has in regard to fertilization is that of a very aggressive cell, the motile sperm, and a recipient or passive cell, the egg, which requires direction from the sperm for activation. This image, however, in the case of at least one group, penaeoidean shrimp, is very misleading. First, penaeoid sperm are nonmotile and thus must be assisted in contacting an oocyte. Second, the penaeoid oocyte, when exposed to the outside world self-activates (parthenogeneti​cally activates) and appears to be completely ambivalent to the presence of a sperm until the time of cleavage; normal cleavage and subsequent development do not occur unless an activated sperm has fertilized an egg. This article reviews the process."
