,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-85-082
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Responses to salinity and the effect of prolactin on whole animal transepithelial potential in the gobiid teleost, ""Gillichthys mirabilis"""
3,Author:,"Iwata, Munehico"
4,,"Bern, Howard A."
5,Publication Year :,1985
6,Source Citation:,"""General and Comparative Endocrinology,"" 60:434-440, 1985."
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/F-101
9,Abstract:,"The importance of prolactin for freshwater adaptation has become increasingly well recognized for several euryhaline teleosts including ""Gillichthys""; prolactin maintains plasma Na and Cl levels in a hypoosmotic environment. In the present experiments, the feasibility of assessing the osmoregulatory ability of ""G. mirabilis"" in different concentrations of seawater by measuring the transepithelial potential (TEP) ""in vivo"" is examined. The effect of prolactin by comparison of TEP of hypophysectomiz​ed fish with and without a rostral pars distalis autotransplant during adaptation to a hypotonic environment is also examined."
