,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-97-052
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Structure of putrebactin, a new dihydroxamate siderophore produced by ""Shewanella putrefaciens"""
3,Author:,"Ledyard, Kathleen M."
4,,"Butler, Alison"
5,Publication Year :,1997
6,Source Citation:,"""JBIC,"" 2:93-97, 1997."
7,# Pages / Video Length:,5
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-53
10,Abstract:,"The bacterium ""Shewanella putrefaciens"" is capable of using a wide variety of inorganic and organic compounds as a terminal electron acceptor, and is one of very few bacteria known to be capable of direct dissimilatory reduction of iron (III). Previously classified variously as ""Pseudomonas"" sp. Strain 200, ""P. ferrireductans""​, and ""Alteromonas putrefaciens"", and finally assigned to the newly-created genus ""Shewanella"", this bacterium was originally isolated from an oil pipeline. Siderophore production in a large number of ""S. putrefaciens"" strains from sources has been surveyed. This paper reports the structure of putrebactin, a novel cyclic dihydroxamate siderophore produced by ""S. putrefaciens"". Putrebactin is similar in structure to two other siderophores, bisucaberin and alcaligin, produced by unrelated bacteria."
