,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-98-014
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Apparent ammonia-​nitrogen production rates of white sturgeon (""acipenser transmontanus"") in commercial aquaculture systems"
3,Author:,"Thomas, Steven L."
4,,"Piedrahita, Raul H."
5,Publication Year :,1998
6,Source Citation:,"""Aquaculture Engineering,"" 17:45-55, 1998."
7,# Pages / Video Length:,11
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/A-96
10,Abstract:,"Ammonia is the primary nitrogenous end product of metabolism in most telost fish species. Ammonia, particularly unionized ammonia, may be toxic to fish. Ammonia production rates of white sturgeon (""Acipenser transmontanus"") were measured at three commercial farms in the Sacramento, California area. Protein ration was the only variable considered which was significant in predicting the mean daily ammonia production rates."
