,MetadataField,Metadata
0,NSGL Document #:,AKU-W-84-003
1,Sea Grant Program/Affiliate:,Alaska Sea Grant
2,Title:,Proceedings of the Symposium on Dungeness Crab Biology and Management 1985
3,Author:,"Melteff, Brenda R."
4,Publication Year :,1985
5,Source Citation:,"Symposium on the Biology and Management of Dungeness Crab Biology, Third (3rd) Lowell Wakefield Fisheries Symposia Series, October 9-11, 1984, Anchorage, Alaska"
6,Publisher:,Alaska Sea Grant College Program
7,# Pages / Video Length:,429
8,Publication Type:,conference/work​shop proceedings
9,Program Report #:,AK-SG-85-3
10,,Alaska Sea Grant Report No. 85-3
11,Grant/Contract #:,NA82AA-D-00044F
12,Project #:,A/75-01
13,Abstract:,"The Dungeness crab, Cancer magister, has traditionally been commercially fished in California, Oregon, Washington, and British Columbia. In recent years these stocks have declined while the Dungeness fishery of Alaska has increased. This symposium, the third in the Lowell Wakefield Fisheries Symposia Series, was convened to review the biology and management of the Dungeness crab in relation to its recent decline and to discuss prudent management of the fishery in Alaska. Sponsors of the symposium are the Alaska Department of Fish and Game, The Crustacean Society, and the Pacific Sea Grant College Program comprised of the Sea Grant programs at the Universities of Alaska, California, Hawaii, Washington, and Oregon State University."
