,MetadataField,Metadata
0,NSGL Document #:,CASG-G-13-004
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Saving San Francisco Bay-Delta native fishes: hatchery management and reintroduction strategies
3,Author:,"Fisch, Katie"
4,,"Coomber, Caitlin"
5,,"Johnson, Christina S."
6,Publication Year :,2013
7,# Pages / Video Length:,2
8,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
9,Project #:,R/SF-45
10,Abstract:,Several native fish species in the San Francisco Bay-Delta and Central Valley have experienced dramatic population declines and could realistically go extinct in the wild.
