,MetadataField,Metadata
0,NSGL Document #:,CASG-R-13-036
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"The effects of the pyrethroid insecticide, bifenthrin, on steroid hormone levels and gonadal development of steelhead (Oncorhynchus mykiss) under hypersaline conditions"
3,Author:,"Forsgren, Kristy L"
4,,"Riar, Navneet"
5,,"Schlenk, Daniel"
6,Publication Year :,2013
7,Source Citation:,"""General and Comparative Endocrinology,"" 186:101-107, June 2013."
8,# Pages / Video Length:,7
9,Publication Type:,reprints (peer-reviewed)
10,Program Report #:,R/SF-46
