,MetadataField,Metadata
0,NSGL Document #:,CASG-S-11-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Balancing management of marina water quality and invasive Hull-fouling species: pertinent scientific findings
3,Author:,"Johnson, Leigh"
4,,"Lande, Michelle"
5,,"Culver, Carolyn"
6,Publication Year :,2011
7,# Pages / Video Length:,2
8,Publication Type:,technical reports/surveys​/patents
9,Project #:,A/EA-AR-17
10,Abstract:,"Alternative hull coatings: service life; boating industry capacity for alternative coatings needs to be developed; nontoxic coatings for boats that stay home Copper tolerance of hull-fouling species: scientific evidence; other species ""piggy-back"" on copper-tolerant ones; copper-polluted water favors tolerant species"
