,MetadataField,Metadata
0,NSGL Document #:,CUIMR-Q-78-003
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,California Sea Grant College Program Annual Report 1977-1978
3,Author:,"Sullivan, James J. (Manager)"
4,Editor :,"Kidder, Gayle M."
5,,"Siwolop, Sana"
6,,"Albert, Henri"
7,Publication Year :,1978
8,Publisher:,"University of California Sea Grant College Program, Institute of Marine Resources"
9,# Pages / Video Length:,280
10,Publication Type:,"program reports (annual, progress, planning reports, etc)"
11,Program Report #:,IMR Reference Number 79-101; Sea Grant Publication Number 67 (IMR-79-101; SG-67)
12,Grant/Contract #:,NOAA Sea Grant USDC 04-8-M01-189
13,Abstract:,"The Sea Grant Program was created in 1966 by Public Law 89-688, the National Sea Grant College and Program Act. The purpose of the program is ""to increase the understanding, assessment, development, utilization and conservation of the Nation's ocean and coastal resources by providing assistance to promote a strong educational base, responsive research and training activities, and broad and prompt dissemination of knowledge and techniques."" This is an annual report of the University of California Sea Grant College Program for September 1, 1977 to September 30, 1978."
