,MetadataField,Metadata
0,NSGL Document #:,CASG-I-07-002
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Marine Birds and Mammals at the Farallon Islands: Abundance and distribution in the vicinity of the Farallan Archipelago (online interactive map tool)
3,Author:,"Jahncke, J."
4,,"Rintoul, Carrie"
5,,"Jongsomjit, D."
6,Publication Year :,2007
7,# Pages / Video Length:,2
8,Publication Type:,"web/blog sites (topical), other web-based resources"
9,Project #:,R/CZ-202
10,URL:,http://data.prb​o.org/cadc/sefi​map
