,MetadataField,Metadata
0,NSGL Document #:,CASG-R-11-075
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Mesoscale structure and oceanographic determinants of krill hotspots in the California current: implications for trophic transfer and conservation
3,Author:,"Santora, Jarrod A."
4,,"Sydeman, William J."
5,,"Schroeder, Issac D."
6,,"Wells, Brian K."
7,,"Field, John C."
8,Publication Year :,2011
9,Source Citation:,"""Progress in Oceanography,"" 91(4):397-409, December 2011."
10,# Pages / Video Length:,13
11,Publication Type:,reprints (peer-reviewed)
12,Project #:,R/ENV-220
