,MetadataField,Metadata
0,NSGL Document #:,CASG-NR-12-012
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Dinoflagellate bloom coincides with marine invertebrate mortalities in Northern California
3,Author:,"Rogers-Bennett, Laura"
4,,"Kudela, Raphael"
5,,"Nielsen, Karina"
6,,"O'Kelly, Charles"
7,,"Crane, David"
8,,"Moore, James"
9,Publication Year :,2012
10,Source Citation:,"""Harmful Algae News,"" 46:10-11, June 2012."
11,# Pages / Video Length:,2
12,Publication Type:,reprints (not peer-reviewed)
13,Project #:,R/CONT-217PD
