,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-90-025
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Novel marine sponge amino acids. 10. Xestoaminols from ""Xestospongia"" sp"
3,Author:,"Jimenez, Carlos"
4,,"Crews, Phillip"
5,Publication Year :,1990
6,Source Citation:,"""Journal of Natural Products,"" 53(4):978-982, July/August 1990."
7,# Pages / Video Length:,5
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-41
10,Abstract:,"The secondary metabolites from Indo-Pacific sponges have included a rich array of anthelminthic nitrogen derivatives. Two different species of ""Xestospongia,"" easily distinguished by a dissimilarity in their compressibility​, were collected from a variety of habitats in Fiji. They have yielded new amino alcohols, xestoaminols A-C. One species, in shipboard tests of its aqueous and nonaqueous exudates, showed strong activity against Gram-negative bacteria. Similarly, the other species yielded an organic extract that showed broad-spectrum activity against a parasite, microbes, and reverse transcriptase."
