,MetadataField,Metadata
0,NSGL Document #:,SCU-R-81-006
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,"THE SEASONAL ABUNDANCE, VERTICAL DISTRIBUTION AND RELATIVE MICROBIAL BIOMASS OF CHROOCOCCOID CYANOBACTERIA AT A STATION IN SOUTHERN CALIFORNIA COASTAL WATERS"
3,Author:,"KREMPIN, D W"
4,,"SULLIVAN, C W"
5,Publication Year :,1981
6,Source Citation:,"CANADIAN JOURNAL OF MICROBIOLOGY, 27(12):1341-​1344, 1981"
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,USCSG-R-04-82
9,Abstract:,DISTRIBUTION;AB​UNDANCE;BIOMASS​;BACTERIA;CALIF​ORNIA;N
