,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-87-061
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"A multivariate description of change in body shape of coho salmon ""(Oncorhynchus kisutch)"" during smoltification"
3,Author:,"Winans, Gary A."
4,,"Nishioka, Richard S."
5,Publication Year :,1987
6,Source Citation:,"""Aquaculture,"" 66:235-245, 1987."
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/F-101
9,Abstract:,"The transition of freshwater-​adapted juvenile (parr) salmon to seawater adaptable `smolts' is known as smoltification. Morphometric and hormonal data were collected from yearling coho salmon during a period when smoltification is presumed to occur. Changes in body shape, using multivariate statistical analyses of truss-network measurements, are described and related to variability in plasma thyroid hormone, thyroxine. In light of results reported herein, developing a simple, morphometric index of smoltification appears possible for coho salmon."
