,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-93-069
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Conservation properties of the mild slope and Boussinesq equations
3,Author:,"Sobey, Rodney J."
4,Publication Year :,1993
5,Source Citation:,"""Ocean wave measurement and analysis,"" Proceedings of the Second International Symposium, O. T. Magoon and J. M. Hemsley, eds., pp 135-149, New Orleans, Louisiana, July 1993."
6,# Pages / Video Length:,15
7,Publication Type:,reprints (not peer-reviewed)
8,Project #:,R/CZ-118
9,Abstract:,"Common water wave evolution equations, such as the mild slope equation, parabolic approximations and Boussinesq equations, are approximate statements of conservation laws. A feasible measure of their adequacy is their ability to predict steady progressive wave propagation over a horizontal bottom, where near-exact kinematics are predicted by steady wave theory. None of the common evolution equations satisfy the conservation laws. The relative errors are surprisingly large and no existing evolution equation is acceptable. A Boussinesq-​style equation, with almost acceptable error levels, is suggested. An accurate, robust and viable water wave evolution equation for an uneven bottom is not presently available."
