,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-87-077
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Effects of cortisol implants on the PKX myxosporean causing proliferative kidney disease in rainbow trout, ""Salmo gairdneri"""
3,Author:,"Kent, Michael L."
4,,"Hedrick, Ronald P."
5,Publication Year :,1987
6,Source Citation:,"""Journal of Parasitology,"" 73(3):455-461, June 1987."
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,R/F-100
9,Abstract:,"The myxosporean (PKX) that causes proliferative kidney disease in salmonid fishes is found primarily in the kidney interstitium of clinically affected fish, where it invokes a severe inflammatory response. Incomplete spores are observed in the lumen of kidney tubules in recovering fish. PKX-infected rainbow trout, ""Salmo gairdneri"", were immunosuppresse​d with cortisol implants to determine if a reduction in renal interstitial inflammation would enhance the development of the parasite. Suppression of the inflammatory response clearly enhanced the parasite's ability to reach to sporogonic stage, but did not induce complete development of the spore. Possibly the kidney tubules of rainbow trout do not provide the proper physiological environment for complete sporulation of PKX and a nonsalmonid fish may be the primary host."
